sampleid,db_id,program_id,location,county,state,full_state,date_collect,sampletype,collection,consumed,expectedsubstance,expect_opioid,expect_fentanyl,expect_xylazine,expect_stimulant,expect_benzo,expect_meth,expect_cocaine,expect_cannabis,expect_hall,color,bright_color,texture,tar,pill,powder,plant,crystals,lustre,sensations,sen_strength,sen_weird,sen_hall,sen_up,sen_down,sen_nice,sen_long,sen_burn,sen_skin,sen_seizure,texture_notes,sensation_notes,overdose,od,overdose_notes,fatal_od,confirmatory,date_complete,lab_num_substances_any,lab_num_substances,lab_null,lab_fentanyl,lab_fentanyl_any,lab_xylazine,lab_xylazine_any,lab_xylazine_trace,lab_meth,lab_meth_any,lab_cocaine,lab_cocaine_any,lab_caffeine,lab_gabapentin,lab_levamisole_any,lab_mdma,lab_tramadol,lab_carfentanil,lab_carfentanil_any,lab_ketamine_any,lab_ketamine,lab_btmps_any,lab_btmps,lab_opioid,lab_opioid_any,lab_synthetic_cannabinoid,lab_synthetic_cannabinoid_any,lab_potent_benzodiazepine,lab_potent_benzodiazepine_any,lab_benzodiazepine,lab_benzodiazepine_any,lab_nitazene,lab_nitazene_any,lab_meth_impurities_any,lab_mdma_impurities_any,lab_cocaine_impurities_any,lab_common_cuts_any,lab_heroin_impurities_any,lab_cannabinoids_any,lab_fentanyl_impurities_any,lab_pf_fent_impurities_any,lab_substituted_cathinones_any,state_county,statefips,countyfips_3,countyfips
"300593",305,101,"Portland","Multnomah County","OR","Oregon","17aug2022","pill","pill","taken","benzodiazepine",0,0,0,0,1,0,0,0,0,"speckled; light green",1,"fake pill",,1,,,,"","stronger","stronger",,,,,,,,,,,"BTNX FTX = +, BTNX B20 = +","not overdose related",0,,,1,"20oct2022",7,7,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300555",306,101,"Portland","Multnomah County","OR","Oregon","24aug2022","unknown","unknown","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals",,,,,1,"","stronger","stronger",,,,,,,,,,,"FTS = negative","not overdose related",0,,,1,"30aug2022",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300561",307,101,"Multnomah County","Multnomah County","OR","Oregon","24aug2022","spatula","spatula","taken","heroin",1,0,0,0,0,0,0,0,0,"brown",0,"sticky; hard",1,,,,,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,1,"30aug2022",4,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300572",308,101,"Portland","Multnomah County","OR","Oregon","24aug2022","pill","pill","unused","benzodiazepine",0,0,0,0,1,0,0,0,0,"yellow",1,"pill",,1,,,,"","","",,,,,,,,,,,"","not overdose related",0,,,1,"30aug2022",1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300577",309,101,"Portland","Multnomah County","OR","Oregon","24aug2022","pill","pill","taken","fentanyl",1,1,0,0,0,0,0,0,0,"blue",1,"fake pill",,1,,,,"","","",,,,,,,,,,,"FTS +","unknown",,,,1,"30aug2022",3,3,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300788",384,101,"Portland","Multnomah County","OR","Oregon","28sep2022","spatula","spatula","unused","heroin",1,0,0,0,0,0,0,0,0,"brown",0,"sticky; tar",1,,,,,"","","",,,,,,,,,,,"","unknown",,,,1,"05oct2022",8,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300748",385,101,"Gresham","Multnomah County","OR","Oregon","28sep2022","spatula","spatula","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals",,,,,1,"","weaker","weaker",,,,,,,,,,,"","not overdose related",0,,,1,"06oct2022",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300790",386,101,"Multnomah County","Multnomah County","OR","Oregon","23sep2022","pill","pill","taken","benzodiazepine",0,0,0,0,1,0,0,0,0,"green",1,"fake pill",,1,,,,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,1,"06oct2022",1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300717",387,101,"Multnomah County","Multnomah County","OR","Oregon","23sep2022","pill","pill","taken","fentanyl",1,1,0,0,0,0,0,0,0,"blue",1,"fake pill",,1,,,,"","normal","normal",,,,,,,,,,,"acetaminophen","not overdose related",0,,,1,"11oct2022",4,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300760",388,101,"Portland","Multnomah County","OR","Oregon","23sep2022","spatula; swab","multiple methods","unused","MDMA",0,0,0,0,0,0,0,0,1,"gray; purple; blue",0,"crystals",,,,,1,"","","",,,,,,,,,,,"","not overdose related",0,,,1,"06oct2022",2,1,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
